,Broadridge_male,Broadridge_female,tuple,Financial_male,Financial_female,Solutions_male,Solutions_female,average_male,average_female,female-male
23,-0.18831155,-0.2888977,"('hospitable', 'inhospitable')",0.27235693,0.22690856,0.7452034,0.7484824,0.2764163,0.2288311,-0.0475852
37,-0.17288968,-0.07567611,"('good', 'evil')",0.95265126,0.96206886,1.3533195,1.4408649,0.711027,0.7757525,0.0647255
12,0.16438238,0.09301531,"('sympathetic', 'unsympathetic')",-0.4519704,-0.5384216,-1.3309927,-1.540757,-0.5395269,-0.6620544,-0.1225275
32,-0.14759783,0.034813195,"('benevolent', 'hardhearted')",-2.23539,-2.1081681,-1.4857192,-1.432918,-1.289569,-1.1687576,0.1208114
88,-0.12699573,-0.11028138,"('impulsive', 'meek')",0.82328093,0.72860104,1.8605502,1.7083584,0.8522785,0.7755593,-0.0767192
69,-0.12562746,0.105493456,"('wise', 'foolish')",-0.67118615,-0.5431596,-0.24481766,-0.26182953,-0.3472104,-0.2331652,0.1140452
49,-0.09399375,-0.1324924,"('responsible', 'irresponsible')",-1.37281,-1.4741999,-1.7457997,-1.8451184,-1.0708679,-1.1506036,-0.0797357
13,0.0792069,-0.07159725,"('helpful', 'unhelpful')",-2.2760975,-2.2777429,-3.1208386,-3.3978047,-1.7725763,-1.9157149,-0.1431386
57,0.07752532,-0.16364267,"('able', 'unable')",0.5576433,0.47293493,-0.31224838,-0.36726975,0.1076401,-0.0193258,-0.1269659
18,0.0762198,0.02088464,"('social', 'asocial')",-1.114405,-1.1622992,-0.53367656,-0.43304646,-0.5239539,-0.5248203,-0.0008664
9,-0.07308834,-0.13617393,"('sensitive', 'insensitive')",-1.0371133,-1.161496,-1.10099,-1.2672908,-0.7370639,-0.854987,-0.1179231
97,-0.07205853,-0.08440328,"('superior', 'inferior')",-0.82869524,-0.77273834,-0.8060781,-0.72259533,-0.5689439,-0.526579,0.0423649
17,0.07049829,0.12157212,"('social', 'antisocial')",-1.0743883,-1.0096409,-0.33735955,-0.14584398,-0.4470832,-0.3446376,0.1024456
73,-0.068593234,-0.46253988,"('brilliant', 'incompetent')",-1.0457304,-1.2152592,-1.5471873,-1.801599,-0.8871703,-1.1597994,-0.2726291
91,0.03754352,-0.069696754,"('resilient', 'nonresilient')",-0.04737408,0.006076984,-0.283238,-0.30565464,-0.0976895,-0.1230915,-0.025402
58,-0.027998924,0.18059492,"('able', 'clumsy')",-0.8661951,-0.7822519,-1.1958051,-1.2152255,-0.6966664,-0.6056275,0.0910389
39,0.021386594,0.14399058,"('right', 'wrong')",-0.792771,-0.67139447,-0.44600028,-0.27878642,-0.4057949,-0.2687301,0.1370648
29,-0.011393756,-0.18138292,"('honest', 'immoral')",-1.0064077,-1.1073753,-1.7728109,-1.7518151,-0.9302042,-1.0135244,-0.0833202
65,0.006217748,-0.34956253,"('practical', 'impractical')",-0.8811741,-0.9981533,-1.11842,-1.214113,-0.6644588,-0.853943,-0.1894842
