permco;companyname;cleanedname
13603;DOLLAR TREE INC;dollar tree
;;
53964;TRIPADVISOR INC;tripadvisor
;;
53947;W P X ENERGY INC;w p x energy
;;
16268;CROWN CASTLE INTL CORP;crown castle intl corp new
;;
12074;FOSSIL GROUP INC;fossil group
;;
54048;PHILLIPS 66;phillips 66
;;
53667;KINDER MORGAN INC;kinder morgan
;;
14394;ALEXION PHARMACEUTICALS INC;alexion pharmaceuticals
;;
7013;LAM RESH CORP;lam resh
;;
7902;MONSTER BEVERAGE CORP;monster beverage corp new
;;
43807;SEAGATE TECHNOLOGY HOLDINGS PLC;seagate technology holdings
;;
53531;LYONDELLBASELL INDUSTRIES N V;lyondellbasell industries n v
;;
54185;PENTAIR PLC;pentair
;;
54174;ADT CORP;a d t
;;
54193;KRAFT FOODS GROUP INC;kraft foods group
;;
12305;PETSMART INC;petsmart
;;
53264;DOLLAR GENERAL CORP;dollar general corp new
;;
41059;GARMIN LTD;garmin
;;
53927;APTIV PLC;aptiv
;;
54287;ABBVIE INC;abbvie
;;
21402;PVH CORP;p v h
;;
10876;REGENERON PHARMACEUTICALS INC;regeneron pharmaceuticals
;;
30362;MACERICH CO;macerich
;;
21033;KANSAS CITY SOUTHERN;kansas city southern
;;
54327;ZOETIS INC;zoetis
;;
54433;NEWS CORP;news corp new
;;
53656;NIELSEN HOLDINGS PLC;nielsen holdings
;;
20569;DELTA AIR LINES INC;delta air lines
;;
32054;AMETEK INC;ametek inc new
;;
11042;VERTEX PHARMACEUTICALS INC;vertex pharmaceuticals
;;
29866;TRANSOCEAN LTD;transocean
;;
53948;CAPRI HOLDINGS LIMITED;capri holdings
;;
54641;ALLEGION PLC;allegion
;;
29807;BROOKFIELD PROPERTY REIT INC;brookfield property reit
;;
11446;MOHAWK INDUSTRIES INC;mohawk industries
;;
41671;ALLIANCE DATA SYSTEMS CORP;alliance data systems
;;
54084;META PLATFORMS INC;meta platforms
;;
12863;TRACTOR SUPPLY CO;tractor supply co new
;;
56438;KEURIG DR PEPPER INC;keurig dr pepper
;;
30421;ESSEX PROPERTY TRUST INC;essex property trust
;;
48779;UNDER ARMOUR INC;under armour
;;
53196;BROADCOM INC;broadcom
;;
43520;CIMAREX ENERGY CO;cimarex energy
;;
32136;AFFILIATED MANAGERS GROUP INC;affiliated managers group
;;
30260;MARTIN MARIETTA MATERIALS INC;martin marietta materials
;;
54459;MALLINCKRODT PLC;mallinckrodt
;;
4655;UNIVERSAL HEALTH SERVICES INC;universal health services
;;
32191;UNITED RENTALS INC;united rentals
;;
16033;LEVEL 3 COMMUNICATIONS INC;level 3 communications
;;
29819;ROYAL CARIBBEAN CRUISES LTD;royal caribbean cruises
;;
53696;HCA HEALTHCARE INC;h c a healthcare
;;
37931;ENDO INTERNATIONAL PLC;endo international
;;
20058;SKYWORKS SOLUTIONS INC;skyworks solutions
;;
14098;SCHEIN HENRY INC;schein henry
;;
20010;AMERICAN AIRLINES GROUP INC;american airlines group
;;
32062;SL GREEN REALTY CORP;s l green realty
;;
38419;EQUINIX INC;equinix
;;
51096;HANESBRANDS INC;hanesbrands
;;
30500;REALTY INCOME CORP;realty income
;;
15506;QORVO INC;qorvo
;;
6606;HUNT JB TRANSPORT SERVICES INC;hunt j b transport services
;;
55293;BAXALTA INC;baxalta
;;
55294;COLUMBIA PIPELINE GROUP INC;columbia pipeline group
;;
42402;ADVANCE AUTO PARTS INC;advance auto parts
;;
55341;PAYPAL HOLDINGS INC;paypal holdings
;;
9857;SIGNET JEWELERS LTD;signet jewelers
;;
12499;ACTIVISION BLIZZARD INC;activision blizzard
;;
21793;UNITED AIRLINES HOLDINGS INC;united airlines holdings
;;
53256;VERISK ANALYTICS INC;verisk analytics
;;
55421;HEWLETT PACKARD ENTERPRISE CO;hewlett packard enterprise
;;
55426;FOUR CORNERS PROPERTY TRUST INC;four corners property trust
;;
54936;SYNCHRONY FINANCIAL;synchrony financial
;;
37938;ILLUMINA INC;illumina
;;
55470;CSRA INC;c s r a
;;
1103;CHURCH & DWIGHT INC;church & dwight
;;
41694;WILLIS TOWERS WATSON PUB LTD CO;willis towers watson pub
;;
45469;EXTRA SPACE STORAGE INC;extra space storage
;;
20697;FEDERAL REALTY INVESTMENT TR;federal realty investment tr new
;;
55006;CITIZENS FINANCIAL GROUP INC;citizens financial group
;;
52684;CONCHO RESOURCES INC;concho resources
;;
52985;AMERICAN WATER WORKS CO INC;american water works
;;
3334;UDR INC;u d r
;;
10504;HOLOGIC INC;hologic
;;
42540;CENTENE CORP DEL;centene corp del
;;
21936;FOOT LOCKER INC;foot locker
;;
52788;ULTA BEAUTY INC;ulta beauty
;;
41168;GLOBAL PAYMENTS INC;global payments
;;
42401;ACUITY BRANDS INC;acuity brands
;;
20035;ALASKA AIRGROUP INC;alaska airgroup
;;
55557;INGEVITY CORP;ingevity
;;
45684;DIGITAL REALTY TRUST INC;digital realty trust
;;
44497;LKQ CORP;l k q
;;
7094;GALLAGHER ARTHUR J & CO;gallagher arthur j
;;
50481;TRANSDIGM GROUP INC;transdigm group
;;
53876;FORTUNE BRANDS HOME & SECUR INC;fortune brands home & secur
;;
4980;ALLIANT ENERGY CORP;alliant energy
;;
30249;ALBEMARLE CORP;albemarle
;;
55585;FORTIVE CORP;fortive
;;
32158;METTLER TOLEDO INTERNATIONAL INC;mettler toledo international
;;
17322;CHARTER COMMUNICATIONS INC;charter communications inc new
;;
5780;COOPER COMPANIES INC;cooper companies
;;
54444;COTY INC;coty
;;
55687;VERSUM MATERIALS INC;versum materials
;;
55684;ADVANSIX INC;advansix
;;
55715;ADIENT PLC;adient
;;
55718;ALCOA CORP;alcoa
;;
55717;QUALITY CARE PROPERTIES INC;quality care properties
;;
55716;YUM CHINA HOLDINGS INC;yum china holdings
;;
55778;LAMB WESTON HOLDINGS INC;lamb weston holdings
;;
30104;MID AMERICA APT COMMUNITIES INC;mid america apt communities
;;
15867;ENVISION HEALTHCARE CORP;envision healthcare
;;
55805;CONDUENT INC;conduent
;;
10989;IDEXX LABORATORIES INC;i d e x x laboratories
;;
55833;TECHNIPFMC PLC;technipfmc
;;
55836;VAREX IMAGING CORP;varex imaging
;;
55837;BIOVERATIV INC;bioverativ
;;
30033;INCYTE CORP;incyte
;;
53447;CBOE GLOBAL MARKETS INC;c b o e global markets
;;
30011;REGENCY CENTERS CORP;regency centers
;;
13790;DISH NETWORK CORPORATION;dish network
;;
11361;SYNOPSYS INC;synopsys
;;
6137;RAYMOND JAMES FINANCIAL INC;raymond james financial
;;
31965;ALEXANDRIA REAL EST EQUITIES INC;alexandria real est equities
;;
12457;GARTNER INC;gartner
;;
55930;CARS COM INC;cars com
;;
54895;IHS MARKIT LTD;i h s markit
;;
54672;HILTON WORLDWIDE HOLDINGS INC;hilton worldwide holdings
;;
30970;EVEREST RE GROUP LTD;everest re group
;;
14744;ANSYS INC;ansys
;;
41154;ALIGN TECHNOLOGY INC;align technology
;;
55997;JBG SMITH PROPERTIES;j b g smith properties
;;
21625;SMITH A O CORP;smith a o
;;
20609;DUKE REALTY CORP;duke realty
;;
9764;MGM RESORTS INTERNATIONAL;m g m resorts international
;;
13753;RESMED INC;resmed
;;
23511;PACKAGING CORP AMERICA;packaging corp america
;;
56000;BRIGHTHOUSE FINANCIAL INC;brighthouse financial
;;
54401;IQVIA HOLDINGS INC;iqvia holdings
;;
16584;SBA COMMUNICATIONS CORP;s b a communications corp new
;;
9245;CADENCE DESIGN SYSTEMS INC;cadence design systems
;;
54313;NORWEGIAN CRUISE LINE HLDGS LTD;norwegian cruise line hldgs
;;
56123;DELPHI TECHNOLOGIES PLC;delphi technologies
;;
53697;HUNTINGTON INGALLS INDS INC;huntington ingalls inds
;;
51555;IPG PHOTONICS CORP;i p g photonics
;;
9588;SVB FINANCIAL GROUP;s v b financial group
;;
15436;TAKE TWO INTERACTIVE SOFTWR INC;take two interactive softwr
;;
13036;NEKTAR THERAPEUTICS;nektar therapeutics
;;
52840;MSCI INC;m s c i
;;
56329;NVENT ELECTRIC PLC;nvent electric
;;
56347;CHAMPIONX CORP;championx
;;
20018;ABIOMED INC;abiomed
;;
56357;PERSPECTA INC;perspecta
;;
21035;EVERGY INC;evergy
;;
54638;TWITTER INC;twitter
;;
20922;HF SINCLAIR CORP;h f sinclair
;;
51962;BROADRIDGE FINANCIAL SOLUTNS INC;broadridge financial solutns
;;
53610;FLEETCOR TECHNOLOGIES INC;fleetcor technologies
;;
12926;COPART INC;copart
;;
54907;ARISTA NETWORKS INC;arista networks
;;
45394;WELLCARE HEALTH PLANS INC;wellcare health plans
;;
21530;ROLLINS INC;rollins
;;
53286;FORTINET INC;fortinet
;;
55033;KEYSIGHT TECHNOLOGIES INC;keysight technologies
;;
7864;HENRY JACK & ASSOC INC;henry jack & assoc
;;
9698;MAXIM INTEGRATED PRODUCTS INC;maxim integrated products
;;
54222;DIAMONDBACK ENERGY INC;diamondback energy
;;
46091;CELANESE CORP DEL;celanese corp del
;;
53609;FIRST REPUBLIC BANK SF  ;first republic bank s f new
;;
21723;TELEFLEX INC;teleflex
;;
56619;COVETRUS INC;covetrus
;;
6748;ATMOS ENERGY CORP;atmos energy
;;
30913;WABTEC CORP;wabtec
;;
56662;FOX CORP;fox
;;
56668;DOW INC;dow
;;
56720;KONTOOR BRANDS INC;kontoor brands
;;
56723;CORTEVA INC;corteva
;;
56767;AMCOR PLC;amcor
;;
45878;MARKETAXESS HLDGS INC;marketaxess hldgs
;;
22075;IDEX CORP;idex
;;
54426;CDW CORP;c d w corp new
;;
21242;NVR INC;n v r
;;
46024;LAS VEGAS SANDS CORP;las vegas sands
;;
54109;SERVICENOW INC;servicenow
;;
544;BERKLEY W R CORP;berkley w r
;;
11161;OLD DOMINION FREIGHT LINE INC;old dominion freight line
;;
11092;ZEBRA TECHNOLOGIES CORP;zebra technologies
;;
11547;STERIS PLC;steris plc new
;;
50016;LIVE NATION ENTERTAINMENT INC;live nation entertainment
;;
655;BIO RAD LABORATORIES INC;bio rad laboratories
;;
3104;MYLAN NV;mylan n v
;;
3160;NORDSON CORP;nordson
;;
3624;BROWN & BROWN INC;brown & brown
;;
4998;WEST PHARMACEUTICAL SERVICES INC;west pharmaceutical services
;;
10107;BIO TECHNE CORP;bio techne
;;
10408;PTC INC;p t c
;;
10691;TRIMBLE INC;trimble
;;
13115;PENN NATIONAL GAMING INC;penn national gaming
;;
14046;POOL CORP;pool
;;
20394;CARNIVAL CORP;carnival
;;
26080;TYLER TECHNOLOGIES INC;tyler technologies
;;
31661;FACTSET RESEARCH SYSTEMS INC;factset research systems
;;
36380;TELEDYNE TECHNOLOGIES;teledyne technologies
;;
37660;CHARLES RIVER LABS INTL INC;charles river labs intl
;;
44999;SIGNATURE BANK NEW YORK NY;signature bank new york n y
;;
45379;DOMINOS PIZZA INC;dominos pizza
;;
45879;MONOLITHIC PWR SYS INC;monolithic pwr sys
;;
46559;DEXCOM INC;dexcom
;;
53339;GENERAC HOLDINGS INC;generac holdings
;;
53453;TESLA INC;tesla
;;
53494;NXP SEMICONDUCTORS N V;n x p semiconductors n v
;;
53983;EPAM SYSTEMS INC;epam systems
;;
54026;ENPHASE ENERGY INC;enphase energy
;;
54812;PAYCOM SOFTWARE INC;paycom software
;;
54931;CATALENT INC;catalent
;;
55000;CAESARS ENTERTAINMENT INC DE;caesars entertainment inc de
;;
55214;SOLAREDGE TECHNOLOGIES INC;solaredge technologies
;;
55229;ETSY INC;etsy
;;
55487;MATCH GROUP INC;match group inc new
;;
55928;INGERSOLL RAND INC;ingersoll rand
;;
56345;CERIDIAN H C M HOLDING INC;ceridian h c m holding
;;
56611;MODERNA INC;moderna
;;
57036;CARRIER GLOBAL CORP;carrier global
;;
57037;OTIS WORLDWIDE CORP;otis worldwide
;;
57315;VONTIER CORP;vontier
;;
58235;ORGANON & CO;organon
;;
58910;ORION OFFICE REIT INC;orion office reit
;;
59113;CONSTELLATION ENERGY CORP;constellation energy
