,marathon_male,marathon_female,tuple,petroleum_male,petroleum_female,corp_male,corp_female,average_male,average_female,female-male
78,-0.84629846,-0.8740509,"('nonresilient', 'resilient')",0.1527535,0.11115066,-0.034813404,-0.036184717,-0.2427861,-0.2663617,-0.0235756
79,0.047196835,-0.016104225,"('wavering', 'unwavering')",-0.5395621,-0.80835766,-0.52933973,-0.55529827,-0.3405683,-0.45992,-0.1193517
80,0.23956992,0.21402459,"('dominated', 'dominating')",0.08395606,0.3243981,-0.3130687,-0.19090205,0.0034858,0.1158402,0.1123544
81,-0.30167475,-0.42126942,"('submissive', 'aggressive')",0.4711104,0.5620884,-0.44009054,-0.31469235,-0.0902183,-0.0579578,0.0322605
82,-1.854699,-1.9211454,"('poor', 'rich')",0.4303294,0.27950612,5.8260236,5.748845,1.4672181,1.3690686,-0.0981495
83,0.2943258,0.22637685,"('powerless', 'powerful')",0.16811556,0.19897233,-1.1771293,-1.1677094,-0.2382293,-0.2474534,-0.0092241
84,1.0256199,0.9284122,"('inferior', 'superior')",0.7888781,0.8040218,0.43538076,0.40525442,0.7499595,0.7125628,-0.0373967
85,1.1264763,1.1204315,"('insignificant', 'prestigious')",0.7020001,0.45207217,-0.3458337,-0.40468895,0.4942143,0.3892716,-0.1049427
86,0.2037001,-0.054749195,"('uninfluential', 'influential')",0.6706165,0.485057,-0.115001686,-0.2727756,0.253105,0.0525107,-0.2005943
87,-0.41796684,-0.48267627,"('unsuccessful', 'successful')",1.1506478,1.0978844,0.8156561,0.9252049,0.5161123,0.513471,-0.0026413
88,0.43118364,0.33698165,"('low', 'eminent')",0.089336544,-0.004275795,-0.2630174,-0.35485914,0.0858343,-0.0073844,-0.0932187
