,stryker_male,stryker_female,tuple,corp_male,corp_female,average_male,average_female,female-male
77,0.37285155,0.36281455,"('unmotivated', 'motivated')",-1.0459609,-0.98313665,-0.3365547,-0.3101611,0.0263936
78,0.9329123,0.906537,"('nonresilient', 'resilient')",0.309556,0.31908342,0.6212342,0.6128102,-0.008424
79,-1.3914245,-1.5588738,"('wavering', 'unwavering')",-0.4589461,-0.37208593,-0.9251853,-0.9654799,-0.0402946
80,-0.4012004,-0.19878261,"('dominated', 'dominating')",-1.1746151,-1.0680254,-0.7879078,-0.633404,0.1545038
81,1.2717514,1.2157416,"('submissive', 'aggressive')",-0.5510133,-0.49510098,0.3603691,0.3603203,-4.88e-05
82,0.6241018,0.572743,"('poor', 'rich')",6.441489,6.3619843,3.5327954,3.4673636,-0.0654318
83,-0.6717503,-0.7481556,"('powerless', 'powerful')",-1.1139716,-1.1017932,-0.8928609,-0.9249744,-0.0321135
84,1.0017059,0.9296908,"('inferior', 'superior')",1.0278108,1.0712814,1.0147583,1.0004861,-0.0142722
85,-0.8286537,-0.8557762,"('insignificant', 'prestigious')",-0.4752858,-0.3282218,-0.6519697,-0.591999,0.0599707
86,1.2269329,0.98820436,"('uninfluential', 'influential')",-0.27753162,-0.43724412,0.4747006,0.2754801,-0.1992205
87,-0.25743145,-0.18869832,"('unsuccessful', 'successful')",0.7847232,0.8449412,0.2636459,0.3281214,0.0644755
88,0.5065766,0.3233004,"('low', 'eminent')",-0.39249972,-0.4747077,0.0570384,-0.0757037,-0.1327421
