,twenty_male,twenty_female,tuple,first_male,first_female,century_male,century_female,fox_male,fox_female,inc_male,inc_female,average_male,average_female,female-male
78,-0.56664795,-0.58195657,"('nonresilient', 'resilient')",-0.08172068,-0.17808819,-0.5895958,-0.60942286,1.0613393,0.96589625,0.499241,0.5497575,0.0645232,0.0292372,-0.035286
79,-1.4478861,-1.6033319,"('wavering', 'unwavering')",2.5857375,2.490407,0.7228956,0.52230597,-0.3218333,-0.3814568,0.14421923,0.11487307,0.3366266,0.2285595,-0.1080671
80,1.0034369,1.1404234,"('dominated', 'dominating')",-0.9939945,-0.9552026,-1.3341118,-1.2143764,-0.5942607,-0.6260138,-1.7016549,-1.541775,-0.724117,-0.6393889,0.0847281
81,-0.3981862,-0.2512832,"('submissive', 'aggressive')",-3.3862605,-3.265133,-2.3289633,-2.1613314,-0.27653313,-0.2204567,-1.2126288,-1.0821009,-1.5205144,-1.396061,0.1244534
82,-0.8853891,-0.78288496,"('poor', 'rich')",-2.5076065,-2.4467504,-1.5001553,-1.3958539,-0.044310037,0.06165994,5.8606834,5.892073,0.1846445,0.2656487,0.0810042
83,-0.51950717,-0.5906714,"('powerless', 'powerful')",-0.30025783,-0.2937569,0.09153844,-0.019703012,0.3222765,0.2990316,-1.1744719,-1.1221153,-0.3160844,-0.345443,-0.0293586
84,0.1623041,0.12387787,"('inferior', 'superior')",0.89718795,0.9300994,-0.1990189,-0.32043073,-0.19477811,-0.3063184,1.0840201,1.0216279,0.349943,0.2897712,-0.0601718
85,-1.2277243,-1.4163954,"('insignificant', 'prestigious')",2.2603326,2.1079524,2.3777788,2.1496522,1.015485,1.0211474,1.1587316,1.0625339,1.1169207,0.9849781,-0.1319426
86,-1.0934778,-1.1177284,"('uninfluential', 'influential')",-2.6701555,-2.725306,-1.8802162,-1.9530889,0.5095885,0.38523412,-0.30077314,-0.41325086,-1.0870069,-1.1648279,-0.077821
87,-0.05342108,-0.02529997,"('unsuccessful', 'successful')",-0.22017753,-0.14694482,-0.5099394,-0.64822143,-0.04852231,-0.054094367,0.80987775,0.8972741,-0.0044365,0.0045427,0.0089792
88,-0.50917596,-0.5818821,"('low', 'eminent')",-0.29788256,-0.34625152,0.17188612,-0.026117347,0.25493604,0.25962576,0.47466663,0.40762508,0.0188861,-0.0574,-0.0762861
