,huntington_male,huntington_female,tuple,ingalls_male,ingalls_female,inds_male,inds_female,inc_male,inc_female,average_male,average_female,female-male
13,0.3139737,0.30616242,"('impolite', 'polite')",-1.0845646,-1.1055607,1.036448,1.1056745,-0.28067875,-0.25765905,-0.0037054,0.0121543,0.0158597
14,1.0449164,1.1204194,"('antisocial', 'social')",-0.33393884,-0.29713434,1.1355577,1.2182547,-0.7006769,-0.7025615,0.2864646,0.3347445,0.0482799
15,-0.5741603,-0.75233704,"('boring', 'funny')",0.1145895,0.085254386,0.574947,0.52563983,0.21956675,0.22900985,0.0837357,0.0218918,-0.0618439
16,-1.1772105,-1.1584281,"('unpopular', 'popular')",-0.22507823,-0.26630872,-0.75191325,-0.8024975,0.40607014,0.3809836,-0.437033,-0.4615627,-0.0245297
17,0.3274167,0.34092352,"('nasty', 'nice')",0.07953181,0.11485819,-0.011679167,0.026123015,-0.6206702,-0.57199895,-0.0563502,-0.0225236,0.0338266
18,0.54993033,0.5837308,"('disagreeable', 'welcoming')",-0.41804805,-0.37405825,-0.8145134,-0.77803785,-0.49851036,-0.54975194,-0.2952854,-0.2795293,0.0157561
19,-0.49731192,-0.42699447,"('inhospitable', 'hospitable')",-0.6789154,-0.6680637,-1.5139356,-1.5199515,-0.44474122,-0.3817365,-0.783726,-0.7491866,0.0345394
20,0.80500907,0.88899505,"('rough', 'thoughtful')",-0.5539415,-0.5210088,0.48892593,0.46433505,1.2009933,1.1333629,0.4852467,0.491421,0.0061743
21,0.58157176,0.6934134,"('immoral', 'moral')",-1.7698661,-1.7591109,-0.41560546,-0.39760795,-1.1037917,-1.088046,-0.6769229,-0.6378379,0.039085
22,0.075056866,0.11507368,"('untrustworthy', 'trustworthy')",-0.4759394,-0.501366,-0.5995192,-0.614945,-1.4442691,-1.482099,-0.6111677,-0.6208341,-0.0096664
23,1.28401,1.373285,"('insincere', 'sincere')",-1.1708127,-1.292897,-0.20183778,-0.26287326,5.512902,5.404384,1.3560653,1.3054748,-0.0505905
24,0.91480964,0.88776314,"('dishonest', 'honest')",-1.0870788,-1.1006773,-0.18941186,-0.17646931,0.81883585,0.75831217,0.1142887,0.0922322,-0.0220565
25,-0.38033348,-0.41086072,"('egoistic', 'altruistic')",0.21165697,0.16615558,-0.3609393,-0.35010296,1.3462417,1.3094952,0.2041565,0.1786718,-0.0254847
26,1.2841936,1.2852073,"('hardhearted', 'benevolent')",-0.165497,-0.13557252,0.6386234,0.5783787,1.3344666,1.247407,0.7729467,0.7438551,-0.0290916
27,0.7643607,0.7705357,"('hardhearted', 'softhearted')",-1.3654252,-1.3025932,-0.805554,-0.7700126,1.3499876,1.2430624,-0.0141577,-0.0147519,-0.0005942
28,-0.021903142,-0.08998072,"('disloyal', 'loyal')",-1.495944,-1.6574721,-1.1989976,-1.3407749,0.8160665,0.6237303,-0.4751946,-0.6161244,-0.1409298
29,-0.6228292,-0.69567096,"('unfair', 'fair')",-0.6276024,-0.68099207,-1.6583533,-1.7087843,-0.76503414,-0.8871726,-0.9184548,-0.993155,-0.0747002
30,0.73683554,0.8160532,"('intolerant', 'tolerant')",-0.52669907,-0.52022797,0.7090696,0.6962166,1.0372379,1.0401514,0.489111,0.5080483,0.0189373
31,-1.6347044,-1.6508842,"('evil', 'good')",0.09007211,0.15413213,-1.6357846,-1.5961343,-1.3023301,-1.3916142,-1.1206868,-1.1211252,-0.0004384
32,0.16656928,0.18682379,"('unkind', 'kind')",-0.93684745,-0.9764286,0.35020757,0.2955847,0.5811425,0.42672986,0.040268,-0.0168226,-0.0570906
33,-0.01906275,-0.1290335,"('wrong', 'right')",0.8657794,0.7594225,0.21640226,0.20625897,-0.50314236,-0.51741785,0.1399941,0.0798075,-0.0601866
